Client Name,Platform,Industry,PPC Guru Start Date,Comparison Period,Main Metric,Previous Result,New Result,Percentage Improvement,PDF File Path,Status,Data Confidence,Notes
Rehab Clinic,Google Ads,Rehabilitation Clinic,Late 2022,Pre-rebuild (2021) vs Q2 2026 (per month),Genuine phone-call leads / month,Not separately tracked*,≈ 22,Now measured,google-ads/rehab-clinic/rehabilitation-clinic-google-ads-case-study-ppc-guru.pdf,Completed,Medium,Pre-rebuild (2021) vs Q2 2026 (per month)
RJ CAD Solutions Inc,Google Ads,CAD Drafting & Permit Drawings,Jan 2023,Launch (Jan 2023) vs Q2 2026 (per month),Genuine leads / month (calls + forms),18,≈ 55,About 3× growth,google-ads/rj-cad-solutions/cad-drafting-google-ads-case-study-ppc-guru.pdf,Completed,High,Launch (Jan 2023) vs Q2 2026 (per month)
Westway Immigration,Google Ads,Immigration Consultancy,Sep 2025,Launch (Sep 2025) vs Q2 2026 (per month),Genuine leads / month (mostly calls),55,≈ 95,About 1.7× growth,google-ads/westway-immigration/immigration-consultant-google-ads-case-study-ppc-guru.pdf,Completed,Medium,Launch (Sep 2025) vs Q2 2026 (per month)
JK Appliance Repair,Google Ads,Appliance Repair,Jan 2026,First full month (Feb 2026) vs Q2 2026 (per month),Tracked leads / month (calls + forms),22,≈ 40,Strong growth,google-ads/jk-appliance-repair/appliance-repair-google-ads-case-study-ppc-guru.pdf,Completed,Medium,First full month (Feb 2026) vs Q2 2026 (per month)
Therapy Villa,Google Ads,Psychotherapy Practice,Jan 2026,2025 (pre-PPC Guru) vs Q2 2026 (per month),Genuine leads / month (calls / forms / bookings),≈ 17,≈ 31,Strong growth,google-ads/therapy-villa/psychotherapy-google-ads-case-study-ppc-guru.pdf,Completed,Medium,2025 (pre-PPC Guru) vs Q2 2026 (per month)
NorthYork Healthcare Associates,Google Ads,Physiotherapy & Sports Injury Clinic,Feb 2026,Launch month (Feb 2026) vs Q2 2026 (per month),Tracked call leads / month,2,≈ 12,Strong growth,google-ads/northyork-healthcare-associates/healthcare-clinic-google-ads-case-study-ppc-guru.pdf,Completed,Medium,Launch month (Feb 2026) vs Q2 2026 (per month)
Palmdale Health Center,Google Ads,Physiotherapy & Massage Health Centre,Feb 2026,Feb 2026 (launch) vs Q2 2026 (per month),Genuine phone leads / month,1,≈ 9,Strong growth,google-ads/palmdale-health-center/health-centre-google-ads-case-study-ppc-guru.pdf,Completed,Medium,Feb 2026 (launch) vs Q2 2026 (per month)
True Life Wellness Physio,Google Ads,Physiotherapy Clinic,Apr 2023,2021 vs Q2 2026 (per month),Tracked leads / month (calls / forms / bookings),≈ 3,≈ 39,Strong growth,google-ads/true-life-wellness-physio/physiotherapy-google-ads-case-study-ppc-guru.pdf,Completed,Medium,2021 vs Q2 2026 (per month)
Rehab2Go,Google Ads,Mobile Physiotherapy / Rehabilitation,Mar 2026,Mar 2026 (launch) vs Jul 2026 (per month),Genuine leads / month (calls + forms),7,9,Early growth,google-ads/rehab2go/mobile-physiotherapy-google-ads-case-study-ppc-guru.pdf,Needs Review,Low,Mar 2026 (launch) vs Jul 2026 (per month)
Bindra World Immigration Terminal,Google Ads,Immigration Services,Mar 2026,May 2026 (first tracked) vs Jul 2026 (per month),Genuine leads / month (calls + forms),6,≈ 56,Strong growth,google-ads/bindra-world-immigration-terminal/immigration-services-google-ads-case-study-ppc-guru.pdf,Completed,Medium,May 2026 (first tracked) vs Jul 2026 (per month)
EcoCare Home Comfort,Google Ads,HVAC / Home Comfort,Nov 2025,Q1 2026 vs Q2 2026 (per month),Genuine leads / month (calls + forms),≈ 10,≈ 14,+35% quarter over quarter,google-ads/ecocare-home-comfort/hvac-google-ads-case-study-ppc-guru.pdf,Completed,Medium,Q1 2026 vs Q2 2026 (per month)
Blockline Physiotherapy & Wellness,Google Ads,Physiotherapy & Wellness Clinic,May 2026,May 2026 vs Jun 2026 (first full months),Genuine leads (calls + forms),12,14,Growing,google-ads/blockline-physiotherapy-wellness/physiotherapy-wellness-google-ads-case-study-ppc-guru.pdf,Needs Review,Low,May 2026 vs Jun 2026 (first full months)
Apexshine Cleaning Inc.,Google Ads,Cleaning Services,Jun 2026,Jun 2026 vs Jul 2026 (first two months),Genuine leads (calls + forms),30,38,+27%,google-ads/apexshine-cleaning/cleaning-company-google-ads-case-study-ppc-guru.pdf,Completed,Low,Jun 2026 vs Jul 2026 (first two months)
Vin Engineering INC,Google Ads,Engineering Services,Jun 2026,First full month (Jul 2026),Genuine leads (calls + quote forms),2,12,Ramped up,google-ads/vin-engineering/engineering-company-google-ads-case-study-ppc-guru.pdf,Needs Review,Low,First full month (Jul 2026)
GCAD Construction,Meta Ads,Construction & Basement Renovation,Jul 2026,First month only (launch),Conversations,,,,meta-ads/gcad-construction/construction-meta-ads-case-study-ppc-guru.pdf,Needs Review,Low,First month only (launch)
Projects Pioneer,Meta Ads,Construction & Home Renovation,Feb 2026,Mar 2026 (first full month) vs Q2 2026 (per month),Messaging conversations / month,43,≈ 71,Strong growth,meta-ads/projects-pioneer/construction-meta-ads-case-study-projects-pioneer-ppc-guru.pdf,Completed,Medium,Mar 2026 (first full month) vs Q2 2026 (per month)
PPC Guru,Meta Ads,Digital Marketing Agency,Jun 2024,Jul 2024 (pilot) vs Jul 2026 (per month),Instant-form leads / month,8,80,Strong growth,meta-ads/ppc-guru/digital-marketing-agency-meta-ads-case-study-ppc-guru.pdf,Completed,Medium,Jul 2024 (pilot) vs Jul 2026 (per month)
EcoCare,Meta Ads,HVAC & Home Comfort,Aug 2025,Launch month (Aug 2025) vs Q2 2026 (per month),Lead-form enquiries / month,32,≈ 396,Strong growth,meta-ads/ecocare/hvac-meta-ads-case-study-ppc-guru.pdf,Completed,Medium,Launch month (Aug 2025) vs Q2 2026 (per month)
